job title,hiring organization,date posted,valid through,sector,job location,experience required,education requirement,type of contract,available posts
Commercial Grand Compte,Amimer Energie,2024-12-10 08:25:10.000,2025-01-30 23:59:59.000,Industries,['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDI | CDD Ou Mission,2
Assistant(e) Commercial(e),Entreprise anonyme,2024-12-10 08:19:07.128,2025-02-08 08:19:07.066,"Distribution, Commerce",['Alger'],['1 À 2 Ans'],['Niveau Terminal'],CDI,1
Carrossier Peintre,Entreprise anonyme,2024-12-10 08:00:39.347,2025-02-08 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']",['Niveau Terminal'],CDI,3
Soudeur,Entreprise anonyme,2024-12-10 07:59:33.322,2025-02-08 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']",['Bac'],CDI,3
Technicien mécanique,AE2I Algérie ,2024-12-10 07:50:32.000,2025-02-07 23:59:59.000,Industries,['Oran'],['3 À 5 Ans'],['Formation Professionnelle'],CDD Ou Mission,1
Chauffeur,Entreprise anonyme,2024-12-10 07:29:58.154,2025-02-08 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']","['Niveau Secondaire', 'Niveau Terminal']",CDD Ou Mission,3
Cadre chargé du Reporting et suivi de Performance,Entreprise anonyme,2024-12-10 07:28:52.979,2025-02-08 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,2
Responsable du centre de Distribution des Produits Pharmaceutiques (grossisterie),UPC Union pharmaceutique constantinoise Spa (Alger),2024-12-10 07:27:49.286,2025-02-08 23:59:59.000,Industries,['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDI | CDD Ou Mission,1
Pizzaiolo,Hicham cook,2024-12-10 07:27:01.092,2025-02-07 23:59:59.000,Services,"[""M'Sila""]",['3 À 5 Ans'],['Formation Professionnelle'],CDD Ou Mission,6
Développeur(se) Full-Stack Senior,Kodemade,2024-12-10 07:25:40.153,2025-02-07 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 7', 'Bac + 4']",CDI,1
Responsable du centre de Distribution des Produits Pharmaceutiques (grossisterie),UPC Union pharmaceutique constantinoise Spa (Alger),2024-12-10 07:23:43.359,2025-02-07 23:59:59.000,Industries,['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDI | CDD Ou Mission,1
HSE Supervisor,Yassir ,2024-12-10 07:22:00.297,2025-02-07 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],"['6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Product owner - Talenteo,Emploitic SPA,2024-12-10 07:20:41.000,2025-01-25 23:59:59.000,Services,['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Directeur Commercial & Marketing,Mercure Alger Palais des Congrès - Ain Benian,2024-12-09 21:02:05.340,2025-02-07 23:59:59.000,Services,['Alger'],['Plus de 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3', 'Bac + 2']",CDD Ou Mission,1
Responsable Controle de Gestion - BONNE MAITRISE DE ERP - SAP,Hebbache Promotion Immobilière ,2024-12-09 19:58:40.000,2025-01-30 23:59:59.000,Services,['Alger'],['Plus de 10 Ans'],['Bac + 4'],CDD Ou Mission,1
Commercial itinérant Véhiculé (Alger-Blida),Entreprise anonyme,2024-12-09 18:19:09.204,2025-02-07 23:59:59.000,"Informatique, Télécom, Internet","['Tipaza', 'Alger', 'Blida']","['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,2
Directeur Exploitation _Distribution Pharmaceutique (Homme/ Femme),EURAPHARMA DISTRIBUTION (EPDIS),2024-12-09 16:15:07.521,2025-02-07 23:59:59.000,"Distribution, Commerce",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
délégué pharmaceutique /prospecteur,UPC Union pharmaceutique constantinoise Spa (Alger),2024-12-09 15:23:40.656,2025-02-07 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac'],CDI | CDD Ou Mission,4
TELEOPERATRICE,Entreprise anonyme,2024-12-09 15:23:38.000,2025-02-07 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']",['Bac + 3'],CDD Ou Mission,2
Superviseur des ventes, Pepsi ,2024-12-09 15:12:37.307,2025-02-07 23:59:59.000,Industries,['Tizi Ouzou'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
Brand Shop Supervisor,Hight tech leading Multinational,2024-12-09 15:07:02.723,2025-02-02 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']",['Formation Professionnelle'],CDD Ou Mission,1
Chargé de l’information et de la promotion scientifique (délégué Centre-Est),CAN Hygiène ,2024-12-09 14:58:10.439,2025-02-07 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Ingénieur Full stack,EURL ALADVISE,2024-12-09 14:55:43.397,2025-02-07 23:59:59.000,Services,['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI | Indépendant/Saisonnier | Consultant,1
Opérateur Centrale à Béton,Entreprise anonyme,2024-12-09 14:44:24.762,2025-02-07 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],['3 À 5 Ans'],['Niveau Secondaire'],CDD Ou Mission,5
Chargé des Achats,Biopharm,2024-12-09 14:42:59.939,2025-02-07 23:59:59.000,Industries,['Alger'],['1 À 2 Ans'],['Bac + 4'],CDD Ou Mission,1
Chargé de recouvrement,Le Groupe des Sociétés Hasnaoui,2024-12-09 14:42:16.104,2025-02-07 23:59:59.000,"BTP, Construction, Immobilier",['Oran'],['3 À 5 Ans'],['Bac + 4'],CDD Ou Mission,1
Plongeurs,Entreprise anonyme,2024-12-09 14:40:33.870,2025-02-07 23:59:59.000,Services,"[""M'Sila""]","['1 À 2 Ans', '3 À 5 Ans']","['Bac', 'Niveau Secondaire', 'Formation Professionnelle', 'Niveau Terminal']",CDD Ou Mission,1
Serveurs,Hicham cook,2024-12-09 14:39:57.832,2025-02-07 23:59:59.000,Services,"[""M'Sila""]","['1 À 2 Ans', '3 À 5 Ans']",['Niveau Terminal'],CDD Ou Mission,6
Cuisiniers,Hicham cook,2024-12-09 14:38:20.193,2025-02-07 23:59:59.000,Services,"[""M'Sila""]","['1 À 2 Ans', '3 À 5 Ans']",['Niveau Terminal'],CDD Ou Mission,6
Superviseur de Restaurant,Hicham cook,2024-12-09 14:01:18.514,2025-02-07 23:59:59.000,Services,"[""M'Sila""]",['6 À 10 Ans'],['Bac + 4'],CDD Ou Mission,2
COMPTABLE PRINCIPAL,SIMO DECO PRODUCTION,2024-12-09 13:55:17.000,2025-01-20 23:59:59.000,"Distribution, Commerce",['Tipaza'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Chargé(e) de Préparation et Suivi des Commandes,eurl olea,2024-12-09 13:48:46.779,2025-02-07 13:48:46.697,"Distribution, Commerce",['Blida'],['1 À 2 Ans'],"['Bac + 5', 'Bac', 'Bac + 2', 'Bac + 4', 'Bac + 3']",CDI,1
Technicien instrumentiste,AE2I Algérie ,2024-12-09 13:45:08.860,2025-02-07 23:59:59.000,Industries,['Oran'],['3 À 5 Ans'],['Formation Professionnelle'],CDD Ou Mission,1
Ingenieur support technique,AYRADE,2024-12-09 13:39:57.948,2025-02-07 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Administrateur Systèmes,SARL HTR SERVICES DZ,2024-12-09 13:37:11.905,2025-02-07 13:37:11.858,Services,['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
Contrôleur de Gestion,Giba Holdings,2024-12-09 13:34:32.073,2025-02-07 23:59:59.000,Industries,['Biskra'],['3 À 5 Ans'],['Bac + 4'],CDD Ou Mission,1
Gestionnaire deTransport,Giba Holdings,2024-12-09 13:34:07.769,2025-02-07 23:59:59.000,Industries,['Biskra'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,2
"Chef service Comptabilité, Consolidation et Fiscalité",Giba Holdings,2024-12-09 13:33:22.323,2025-02-07 23:59:59.000,Industries,['Biskra'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Électrotechnicien,Hamoud Boualem,2024-12-09 13:33:04.254,2025-01-17 23:59:59.000,Industries,['Blida'],['1 À 2 Ans'],['Bac + 3'],CDI,1
Superviseur Électricité & Automatisme,Hamoud Boualem,2024-12-09 13:32:14.164,2025-01-18 23:59:59.000,Industries,['Blida'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Superviseur Utilités,Hamoud Boualem,2024-12-09 13:32:11.576,2025-01-18 23:59:59.000,Industries,['Oran'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Superviseur Méthodes,Hamoud Boualem,2024-12-09 13:32:07.472,2025-01-19 23:59:59.000,Industries,['Oran'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Conducteur Siroperie,Hamoud Boualem,2024-12-09 13:32:03.954,2025-01-19 23:59:59.000,Industries,['Blida'],['1 À 2 Ans'],['Bac + 2'],CDI,2
Électrotechnicien,Hamoud Boualem,2024-12-09 13:31:56.605,2025-01-31 23:59:59.000,Industries,['Oran'],['1 À 2 Ans'],['Bac + 3'],CDI,1
Superviseur Dépôt Logistique,Hamoud Boualem,2024-12-09 13:31:54.280,2025-01-31 23:59:59.000,Industries,['Boumerdès'],['3 À 5 Ans'],['Bac + 3'],CDI,2
National Transport Manager,Hamoud Boualem,2024-12-09 13:31:49.669,2025-02-06 23:59:59.000,Industries,['Boumerdès'],['6 À 10 Ans'],['Bac + 3'],CDI,1
Mécanicien Industriel,Hamoud Boualem,2024-12-09 13:31:35.133,2025-02-07 23:59:59.000,Industries,['Oran'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
chargé d'affaire commercial,Alieco-spa Côte Rouge,2024-12-09 13:30:49.058,2025-02-07 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,4
Comptable,Euro Protection Algérie ,2024-12-09 13:21:00.846,2025-02-07 23:59:59.000,"Distribution, Commerce",['Boumerdès'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Auditeur Interne Groupe,HYDRA PHARM,2024-12-09 13:19:19.212,2025-02-07 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4']",CDI,1
GRH,SARL NECHMA AGGLOS,2024-12-09 13:14:54.223,2025-02-07 23:59:59.000,Industries,['Annaba'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Directeur achat et approvisionnement,Entreprise anonyme,2024-12-09 13:13:25.391,2025-02-07 23:59:59.000,Industries,"['Alger', 'Blida']","['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Artiste peintre,ogreengarden,2024-12-09 13:12:49.222,2025-02-07 13:12:49.142,Services,['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Certification', 'Bac + 2', 'Bac + 4', 'Bac + 3']",Indépendant/Saisonnier,5
Chargé de la formation et gestion de carriére,Entreprise anonyme,2024-12-09 13:07:03.100,2025-01-13 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Pré-Vendeur,Entreprise anonyme,2024-12-09 13:01:36.553,2025-02-07 13:01:36.504,"Distribution, Commerce","['Alger', 'Blida']",['1 À 2 Ans'],['Niveau Terminal'],CDD Ou Mission,5
Chargé-e du Parc Immobilier,Comité International de la Croix Rouge ( CICR ICRC ),2024-12-09 12:55:54.000,2025-01-17 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],None spécifiée,1
SAP Analyst,Hikma Pharma Algérie,2024-12-09 12:52:07.223,2025-02-07 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Docteur En Pharmacie,Entreprise anonyme,2024-12-09 12:48:19.432,2025-02-07 12:48:19.312,"Distribution, Commerce",['Alger'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 7', 'Bac + 4']",CDD Ou Mission,4
Chargé Middle Office Recouvrement Contentieux ( H-F ),Société Générale Algérie,2024-12-09 12:43:33.000,2025-02-07 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['1 À 2 Ans'],['Formation Professionnelle'],CDI,1
Chargé d'Affaires,Fransabank,2024-12-09 12:28:00.968,2025-02-07 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDI,5
Ingénieur électromécanique,Entreprise anonyme,2024-12-09 11:33:35.664,2025-02-07 23:59:59.000,Services,['Mascara'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
"Chef de Service Qualité, Hygiène et Sécurité & Environnement (QHSE)",Giba Holdings,2024-12-09 11:28:10.694,2025-02-07 23:59:59.000,Industries,['Biskra'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Mécanicien,Importante entreprise,2024-12-09 11:11:48.822,2025-02-07 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],None spécifiée,None spécifiée,1
Chef de Service Planification et Services au Clients,Giba Holdings,2024-12-09 11:11:14.872,2025-02-07 23:59:59.000,Industries,['Biskra'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Ingénieur HSE,Entreprise anonyme,2024-12-09 11:08:34.984,2025-02-07 23:59:59.000,"Energie, Mines, Matière Première",['Alger'],"['3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Filmmaker & Monteur Vidéo,Bessa Promotion,2024-12-09 11:03:53.238,2025-02-07 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],['3 À 5 Ans'],"['Formation Professionnelle', 'Bac + 3']",CDD Ou Mission,1
Graphic Designer,Bessa Promotion,2024-12-09 11:02:59.190,2025-02-07 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Contract & Vendor Responsible,Djezzy,2024-12-09 11:00:48.720,2025-02-07 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['6 À 10 Ans'],['Bac + 3'],CDI,1
Chef de Zone,Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2024-12-09 10:53:10.124,2025-02-07 23:59:59.000,Industries,"['Mostaganem', 'Mascara', 'Saïda']",['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",CDI,1
Chef de Zone,Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2024-12-09 10:51:57.162,2025-02-07 23:59:59.000,Industries,"['Tiaret', 'Relizane', 'Tissemsilt']",['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",CDI,1
Assistant(e) administratif(ve),BBS Solutions,2024-12-09 10:50:38.764,2025-02-07 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Chef de Zone,Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2024-12-09 10:50:17.109,2025-02-07 23:59:59.000,Industries,"['Guelma', 'Skikda']",['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",CDI,1
Chargé de Paie,Bessa Promotion,2024-12-09 10:39:44.442,2025-02-07 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
back office,Sarl Amir 2000,2024-12-09 10:29:28.268,2025-02-07 23:59:59.000,Services,['Alger'],['1 À 2 Ans'],['Niveau Terminal'],CDI,1
Responsable Reliability,CAN Hygiène ,2024-12-09 10:15:56.896,2025-02-07 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],['Bac + 4'],CDI,1
Caissier,Entreprise anonyme,2024-12-09 10:00:38.281,2025-02-07 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']",['Bac + 3'],CDD Ou Mission,1
Mécanicien Automobile (Sétif),Faderco SPA,2024-12-09 09:55:15.000,2025-02-03 23:59:59.000,Industries,['Sétif'],['3 À 5 Ans'],['Niveau Terminal'],CDD Ou Mission,1
Superviseur des Ventes,Faderco SPA,2024-12-09 09:54:49.000,2025-02-07 23:59:59.000,Industries,['Tébessa'],"['1 À 2 Ans', '3 À 5 Ans']",['Bac + 3'],CDD Ou Mission,10
Technico-Commercial,Faderco SPA,2024-12-09 09:54:42.000,2025-02-06 23:59:59.000,Industries,['Tébessa'],['Moins D’un An'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,10
marchandiseur,Sarl Amir 2000,2024-12-09 09:50:29.202,2025-02-07 23:59:59.000,Services,"['Blida', 'Chlef', 'Tizi Ouzou', 'Sétif', 'Bouira', 'Alger', 'Boumerdès']",['1 À 2 Ans'],['Niveau Terminal'],CDI,1
chef patissier ,Entreprise anonyme,2024-12-09 09:32:06.255,2025-02-07 09:32:06.204,Services,['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],CDI,1
Commercial,Arys Engineering,2024-12-09 09:16:00.016,2025-02-07 23:59:59.000,Services,['Constantine'],"['6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 4']",CDI | CDD Ou Mission,2
Commercial,Arys Engineering,2024-12-09 09:15:20.162,2025-02-07 23:59:59.000,Services,['Oran'],"['6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 4']",CDI | CDD Ou Mission,2
Finance & Accounting Specialist,ARVEA NATURE ALGERIE,2024-12-09 08:55:35.404,2025-02-07 23:59:59.000,"Distribution, Commerce",['Alger'],['Plus de 10 Ans'],['Bac + 4'],CDI,1
Wireless sales solution manager,HUAWEI TELECOMMUNICATIONS ALGERIA SARL,2024-12-09 08:50:10.745,2025-02-07 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Commercial Showroom (Point de vente),Soficlef,2024-12-09 07:57:14.881,2025-02-07 23:59:59.000,Industries,['Alger'],"['1 À 2 Ans', '3 À 5 Ans']",['Bac + 3'],CDD Ou Mission,1
Contre-maître Magasin Pièces de Rechange,CAN Hygiène ,2024-12-09 07:56:54.912,2025-02-07 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Assistant(e) Back Office motivé(e),PROTECO,2024-12-09 07:28:54.477,2025-02-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Community Manager,PROTECO,2024-12-09 07:27:56.176,2025-02-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Cadre Financier,Entreprise anonyme,2024-12-08 16:01:16.957,2025-02-06 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Comptables, El kafil travel,2024-12-08 15:59:23.568,2025-02-06 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Niveau universitaire', 'Bac + 3', 'Diplôme']",None spécifiée,2
Procurement Director, SARL POWER INTERNATIONAL HOLDING ALGERIA,2024-12-08 15:50:14.857,2025-02-06 23:59:59.000,Industries,['Alger'],['Plus de 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Responsable Maintenance,Sétif Medic,2024-12-08 15:49:29.428,2025-02-06 23:59:59.000,Industries,['Sétif'],['Plus de 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Chargé de la Marketing Digital et communication,sarl  abou samara brother's import export,2024-12-08 15:36:17.733,2025-02-06 15:36:17.687,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Chargé marketing et développement Commercial,Buysell,2024-12-08 15:33:29.722,2025-02-06 23:59:59.000,"Distribution, Commerce",['Blida'],['3 À 5 Ans'],"['Bac + 5', 'Niveau universitaire', 'Bac + 3', 'Diplôme']",None spécifiée,1
Technicien Industriel en Automatisation,PREPAC ALGERIE,2024-12-08 15:29:40.674,2025-02-06 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Niveau universitaire', 'Bac + 3', 'Diplôme']",None spécifiée,1
Assistant(e) Médical,Bm médical,2024-12-08 15:28:47.982,2025-02-06 15:28:47.873,Services,['Alger'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans']","['Bac', 'Bac + 3', 'Bac + 2']",CDI,1
commerciaux polyvalents,Entreprise anonyme,2024-12-08 15:26:42.354,2025-02-06 23:59:59.000,Services,['Annaba'],['Sans Expérience'],"['Bac + 3', 'Niveau Terminal', 'Bac + 2']",CDD Ou Mission,4
Directeur des Moyens Généraux,IRIS EURL SATEREX,2024-12-08 15:20:50.209,2025-02-06 23:59:59.000,Industries,['Sétif'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Analyste des ventes,GAM Assurances,2024-12-08 15:18:07.041,2025-02-06 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Chargé Back Office (H/F) | Agence Dar El Beïda,Maghreb Leasing Algérie,2024-12-08 14:56:35.660,2025-02-06 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
ingénieur informatique,Sétif Medic,2024-12-08 14:48:53.579,2025-02-06 23:59:59.000,Industries,['Sétif'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
DIRECTEUR DES RESSOURCES HUMAINES,Gaea Promotion ,2024-12-08 14:46:38.805,2025-02-06 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],['6 À 10 Ans'],['Bac + 3'],CDD Ou Mission,1
Ingénieur Développement Applicatif & Logiciel Junior,Entreprise anonyme,2024-12-08 14:46:33.884,2025-02-06 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],"['Sans Expérience', '1 À 2 Ans']","['Bac + 5', 'Bac + 4']",CDI,1
Chef de Service Paie et Gestion du Personnel,Entreprise anonyme,2024-12-08 14:44:17.882,2025-02-06 23:59:59.000,Services,['Alger'],['6 À 10 Ans'],['Bac + 4'],CDD Ou Mission,1
IT Workflow Specialist,Entreprise anonyme,2024-12-08 14:26:38.694,2025-02-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Agent polyvalent ( manutentionnaire ) aéroport d'Alger,Swissport,2024-12-08 14:24:52.517,2025-02-06 23:59:59.000,Services,['Alger'],"['Sans Expérience', 'Moins D’un An']",['Formation Professionnelle'],CDD Ou Mission,30
Agent de facturation,Swissport,2024-12-08 14:19:09.287,2025-02-06 23:59:59.000,Services,['Alger'],['1 À 2 Ans'],"['Certification', 'Formation Professionnelle', 'Bac + 3']",CDD Ou Mission,2
National Manufacturing Quality Assurance Manager,Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2024-12-08 13:56:35.000,2025-01-30 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],['Bac + 4'],CDI,1
Mécanicien industriel,Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2024-12-08 13:56:16.000,2025-02-03 23:59:59.000,Industries,['Oran'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,2
Ingénieur Agronome,BigAgri,2024-12-08 13:54:58.474,2025-02-06 13:54:58.425,"Distribution, Commerce",['Alger'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDI,2
Office Manager - Assistante DG,Hebbache Promotion Immobilière ,2024-12-08 13:43:31.000,2025-01-30 23:59:59.000,Services,['Alger'],"['6 À 10 Ans', 'Plus de 10 Ans']",['Bac + 4'],CDD Ou Mission,1
Biologiste,Entreprise anonyme,2024-12-08 13:26:34.676,2025-02-06 13:26:34.618,Services,['Tipaza'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,2
Agent De Billetterie,FLEXITRIP,2024-12-08 13:19:45.085,2025-02-06 13:19:45.039,Services,['Alger'],['1 À 2 Ans'],['Niveau Terminal'],Pré-emploi,1
Directeur Technique pharmacien,EURL RECOM,2024-12-08 13:15:44.303,2025-02-06 13:15:44.229,Industries,['Blida'],['3 À 5 Ans'],['Bac + 7'],CDI,1
Cuisinier,Entreprise anonyme,2024-12-08 13:04:20.175,2025-02-06 13:02:37.534,Services,['Alger'],"['Moins D’un An', '1 À 2 Ans', '3 À 5 Ans']","['Bac', 'Bac + 3', 'Niveau Terminal']",CDI,1
Conducteur Fraiseuse à béton,Entreprise anonyme,2024-12-08 12:49:46.052,2025-02-06 12:49:45.954,"BTP, Construction, Immobilier",['Sétif'],['1 À 2 Ans'],['Niveau Secondaire'],CDD Ou Mission,2
"IBDA Graduate Program (Public Affairs, Communication and Sustainability)",Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2024-12-08 12:45:25.263,2025-02-06 23:59:59.000,Industries,['Alger'],['Sans Expérience'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Community manager ,smart color services,2024-12-08 12:42:39.691,2025-02-06 12:42:39.541,"Informatique, Télécom, Internet",['Constantine'],['Moins D’un An'],['Formation Professionnelle'],CDD Ou Mission,5
Secrétaire De Bureau,Dba système,2024-12-08 12:31:35.006,2025-02-06 12:31:34.941,"Informatique, Télécom, Internet",['Mostaganem'],"['Moins D’un An', 'Sans Expérience']","['Niveau Secondaire', 'Bac', 'Bac + 2', 'Bac + 3', 'Niveau Terminal']",CDD Ou Mission,2
Comptable,Sarl IMC Industrie Médico-chirurgicales,2024-12-08 12:26:48.290,2025-02-06 23:59:59.000,Industries,['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Agent D'Accueil,SPRINT PARK,2024-12-08 12:20:41.923,2025-02-06 12:20:41.847,Services,['Chlef'],['1 À 2 Ans'],['Niveau Terminal'],CDI,1
Gestionnaire des Stocks,Sarl IMC Industrie Médico-chirurgicales,2024-12-08 12:06:57.006,2025-02-06 23:59:59.000,Industries,['Alger'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,2
